title,url,replies,views,cleaned_title,sentiment
Trump releases powerful post-election video.,https://debatepolitics.com/threads/trump-releases-powerful-post-election-video.555427/,4,122,trump release powerful postelection video,0.3
Trump supporters rip Chicago mayor to his face just before City Council rejects his tax hike,https://debatepolitics.com/threads/trump-supporters-rip-chicago-mayor-to-his-face-just-before-city-council-rejects-his-tax-hike.555376/,53,504,trump supporter rip chicago mayor face city council reject tax hike,0.0
Going monk on MAGA,https://debatepolitics.com/threads/going-monk-on-maga.555089/,41,469,going monk maga,0.0
When Hillary And Harris Lost,https://debatepolitics.com/threads/when-hillary-and-harris-lost.555328/,22,255,hillary harris lost,0.0
Trump is expected to tap RFK for the head of HHS,https://debatepolitics.com/threads/trump-is-expected-to-tap-rfk-for-the-head-of-hhs.555232/,140,1K,trump expected tap rfk head hhs,-0.1
Vance is a jerk,https://debatepolitics.com/threads/vance-is-a-jerk.554171/,112,1K,vance jerk,0.0
Trump Economics,https://debatepolitics.com/threads/trump-economics.555223/,24,283,trump economics,0.0
Trump's Wife Denies Biden's Wife,https://debatepolitics.com/threads/trumps-wife-denies-bidens-wife.555057/,73,872,trump wife denies bidens wife,0.0
Trump picks Doug Burgum for Interior secretary,https://debatepolitics.com/threads/trump-picks-doug-burgum-for-interior-secretary.555293/,27,241,trump pick doug burgum interior secretary,0.0
Leftist Trump-opposing women in the US will now go on a 4-year sex strike to oppose Trump even more.,https://debatepolitics.com/threads/leftist-trump-opposing-women-in-the-us-will-now-go-on-a-4-year-sex-strike-to-oppose-trump-even-more.554734/,93,990,leftist trumpopposing woman u go year sex strike oppose trump even,-0.05
Who is REALLY at fault?,https://debatepolitics.com/threads/who-is-really-at-fault.555212/,34,355,really fault,0.2
Doug Collins To VA,https://debatepolitics.com/threads/doug-collins-to-va.555247/,4,77,doug collins va,0.0
Why this term will be different from his first,https://debatepolitics.com/threads/why-this-term-will-be-different-from-his-first.554888/,58,627,term different first,0.125
Brace for ****ing impact,https://debatepolitics.com/threads/brace-for-ing-impact.555071/,81,872,brace ing impact,0.0
Why wasnt Trump's insurrection a bigger factor in the presidential election?,https://debatepolitics.com/threads/why-wasnt-trumps-insurrection-a-bigger-factor-in-the-presidential-election.554510/,290,2K,wasnt trump insurrection bigger factor presidential election,0.0
79% of Jews voted for Kamala Harris in US presidential race,https://debatepolitics.com/threads/79-of-jews-voted-for-kamala-harris-in-us-presidential-race.554974/,24,192,jew voted kamala_harris u presidential race,0.0
Why I got my prediction wrong,https://debatepolitics.com/threads/why-i-got-my-prediction-wrong.554830/,229,2K,got prediction wrong,-0.5
"Oprah was paid $1,000,000 to deliver her speech at the Harris campaign",https://debatepolitics.com/threads/oprah-was-paid-1-000-000-to-deliver-her-speech-at-the-harris-campaign.554892/,41,373,oprah paid deliver speech harris campaign,0.0
AOC Admits Kamala was a Fake!,https://debatepolitics.com/threads/aoc-admits-kamala-was-a-fake.555087/,54,483,aoc admits kamala fake,-0.5
Republicans WIN the House Majority,https://debatepolitics.com/threads/republicans-win-the-house-majority.555186/,25,229,republican win house majority,0.8
2.7 Million Ballots were Rejected,https://debatepolitics.com/threads/2-7-million-ballots-were-rejected.554994/,87,1K,million ballot rejected,0.0
Putin Makes TOTAL FOOL of Trump in UNDER 48 Hours,https://debatepolitics.com/threads/putin-makes-total-fool-of-trump-in-under-48-hours.555035/,78,852,putin make total fool trump hour,0.0
"The cases against Trump were about his crimes, not about elections.",https://debatepolitics.com/threads/the-cases-against-trump-were-about-his-crimes-not-about-elections.554797/,61,626,case trump crime election,0.0
(YouTube - CBS - 60 Minutes)   This Wisconsin county has backed the winning presidential candidate for the last 6 elections,https://debatepolitics.com/threads/youtube-cbs-60-minutes-this-wisconsin-county-has-backed-the-winning-presidential-candidate-for-the-last-6-elections.553406/,8,166,youtube cbs minute wisconsin county backed winning presidential candidate last election,0.25
AOC voters,https://debatepolitics.com/threads/aoc-voters.555078/,9,115,aoc voter,0.0
Biggest Political Comeback In US History?,https://debatepolitics.com/threads/biggest-political-comeback-in-us-history.554958/,72,778,biggest political comeback u history,0.0
"An advice from me (a foreigner from Austria, Europe) to you Americans for tonight and afterwards.",https://debatepolitics.com/threads/an-advice-from-me-a-foreigner-from-austria-europe-to-you-americans-for-tonight-and-afterwards.554206/,92,881,advice foreigner austria europe american tonight afterwards,0.0
15 Million (+) voters didn't show up,https://debatepolitics.com/threads/15-million-voters-didnt-show-up.554528/,257,2K,million voter didnt show,0.0
So....just when WILL we elect a female president?,https://debatepolitics.com/threads/so-just-when-will-we-elect-a-female-president.554805/,86,759,sojust elect female president,0.4
"After Trump’s Victory, There Can Be No Unity Without A Reckoning",https://debatepolitics.com/threads/after-trump%E2%80%99s-victory-there-can-be-no-unity-without-a-reckoning.554757/,190,1K,trump victory unity without reckoning,0.0
Why the wait?,https://debatepolitics.com/threads/why-the-wait.554942/,8,118,wait,0.0
Elon presents an interesting case,https://debatepolitics.com/threads/elon-presents-an-interesting-case.554920/,13,137,elon present interesting case,0.25
What Will Dem Losers Do After Losing Elections?,https://debatepolitics.com/threads/what-will-dem-losers-do-after-losing-elections.554890/,13,151,dem loser losing election,0.0
Voters punished Biden for problems he didn't cause and effectively addressed,https://debatepolitics.com/threads/voters-punished-biden-for-problems-he-didnt-cause-and-effectively-addressed.554913/,24,165,voter punished biden problem didnt cause effectively addressed,0.6
"Republican efforts targeting Harris's record on Israel, antisemitism failed, survey says",https://debatepolitics.com/threads/republican-efforts-targeting-harriss-record-on-israel-antisemitism-failed-survey-says.554839/,52,344,republican effort targeting harris record israel antisemitism failed survey say,-0.5
Trump starts the ball rolling.....,https://debatepolitics.com/threads/trump-starts-the-ball-rolling.554852/,32,265,trump start ball rolling,0.0
America has a problem,https://debatepolitics.com/threads/america-has-a-problem.554838/,22,218,america problem,0.0
Trump Won Walz's Home County in the 2024 Election,https://debatepolitics.com/threads/trump-won-walzs-home-county-in-the-2024-election.554713/,45,447,trump walzs home county election,0.0
The Department of Justice and Jack Smith immediately end their cases against Donald Trump,https://debatepolitics.com/threads/the-department-of-justice-and-jack-smith-immediately-end-their-cases-against-donald-trump.554413/,68,537,department justice jack smith immediately end case donald_trump,0.0
Democrats on illegal immigration are now reaping what they sowed.,https://debatepolitics.com/threads/democrats-on-illegal-immigration-are-now-reaping-what-they-sowed.554815/,4,143,democrat illegal immigration reaping sowed,-0.5
"Are ""meltdowns"" something US-specific ?",https://debatepolitics.com/threads/are-meltdowns-something-us-specific.554729/,36,282,meltdown something usspecific,0.0
